"gene","DESeq2_log2FC","DESeq2_padj","DESeq2_group","edgeR_log2FC","edgeR_FDR","edgeR_group"
"AT5G19890",-5.372487925,2.73e-17,"down",-5.354541166538,0.0493493750168949,"down"
"AT1G19900",-4.609135663,3.25e-09,"down",-4.51534827310763,0.18362283729901,"ns"
"AT4G28080",1.239402484,2.17e-08,"up",1.22690309867633,0.202172670263146,"ns"
"AT4G35160",-3.084294043,4.14e-08,"down",-3.08726391924307,0.18362283729901,"ns"
"AT5G02020",1.701242057,5.72e-08,"up",1.68651619820226,0.18362283729901,"ns"
"AT1G77330",-1.794683416,1.33e-07,"down",-1.81227567098767,0.18362283729901,"ns"
"AT5G03545",-1.798089919,5.82e-07,"down",-1.81717358697138,0.18362283729901,"ns"
"AT4G12480",-3.338790431,7.39e-06,"down",-3.37042131695342,0.18362283729901,"ns"
"AT1G73120",1.388445872,2e-05,"up",1.37344320567182,0.202172670263146,"ns"
"AT2G34430",1.849539073,2.02e-05,"up",1.82876005941015,0.202655544341155,"ns"
"AT1G62380",-1.59100263,2.16e-05,"down",-1.60979909744759,0.202655544341155,"ns"
"AT1G06080",-1.498919424,4.08e-05,"down",-1.51932326684399,0.202172670263146,"ns"
"AT2G38230",1.619848793,4.08e-05,"up",1.60720898532846,0.18362283729901,"ns"
"AT4G30280",-1.2427618,4.23e-05,"down",-1.2539688691485,0.202172670263146,"ns"
"AT3G04720",-2.163815852,5.32e-05,"down",-2.16509690853301,0.202655544341155,"ns"
"AT5G10770",-1.41837353,5.32e-05,"down",-1.43682997786948,0.202655544341155,"ns"
"AT3G53200",-2.429158335,6e-05,"down",-2.41481831979429,0.202172670263146,"ns"
"AT3G56240",-1.299522753,7.29e-05,"down",-1.31934926364343,0.202505975369342,"ns"
"AT4G16260",-1.65314049,7.91e-05,"down",-1.67298631682169,0.202172670263146,"ns"
"AT4G34138",1.283395999,7.91e-05,"up",1.27176809048171,0.202172670263146,"ns"
"AT1G13430",-2.253630391,8.23e-05,"down",-2.2734733419138,0.202172670263146,"ns"
"AT4G37800",-2.116653458,0.000116025,"down",-2.11230490420977,0.202655544341155,"ns"
"AT3G48970",-1.947369625,0.000122243,"down",-1.95970228603325,0.202172670263146,"ns"
"AT5G53980",-1.557991426,0.000122243,"down",-1.57749189747861,0.202172670263146,"ns"
"AT5G01600",1.222388774,0.000128398,"up",1.20814071779656,0.202655544341155,"ns"
"AT3G26650",1.182347115,0.000129036,"up",1.16356252940457,0.202655544341155,"ns"
"AT4G22490",-2.008982408,0.000129036,"down",-2.0021481955542,0.202172670263146,"ns"
"AT4G25580",3.684992174,0.000245427,"up",3.62471850056494,0.20369198989089,"ns"
"AT1G15290",1.179446879,0.000286721,"up",1.17282495148451,0.202172670263146,"ns"
"AT3G48690",1.309920422,0.000286721,"up",1.29408175792698,0.202505975369342,"ns"
"AT3G51400",-3.046926665,0.000403735,"down",-3.06296548761265,0.202172670263146,"ns"
"AT1G29930",0.777202157,0.000403863,"ns",0.759281149304073,0.238211595430023,"ns"
"AT3G49970",-2.571949652,0.000403863,"down",-2.54082191369137,0.18362283729901,"ns"
