"gene","Gene_Name","Log2FC","padj","grp"
"AT1G19900","RUBY",-4.60913566280106,3.24617959554165e-09,"down"
"AT4G35160","ASMT",-3.08429404302465,4.1350134909244e-08,"down"
"AT1G77330","ACO5",-1.79468341565225,1.32755106291879e-07,"down"
"AT1G62380","ACO2",-1.59100263015434,2.15616333360158e-05,"down"
"AT1G06080","ADS1",-1.49891942358138,4.07944964421745e-05,"down"
"AT5G53980","HB52",-1.55799142569598,0.000122242637434359,"down"
"AT5G67020","AT5G67020",-2.31601034343942,0.000483501747474086,"down"
"AT2G01530","ZCE2",-1.21303476523118,0.000664322447032185,"down"
"AT2G44570","GH9B12",-3.23073232022738,0.000704601721270982,"down"
"AT2G47160","BOR1",-1.17602990855009,0.000823853517701857,"down"
"AT5G14920","GASA14",-2.14847375699933,0.00148209651509918,"down"
"AT3G59900","ARGOS",-1.1438378256568,0.00178398592015278,"down"
"AT4G35190","LOG5",-2.47146782837901,0.00200224096442526,"down"
"AT5G59540","2OGD",-1.52570128575705,0.00256241228163378,"down"
"AT1G50110","BCAT6",-2.69585063330577,0.00302880221974966,"down"
"AT2G39980","HXXXD2",-2.35659300681369,0.00321158940889393,"down"
"AT5G17700","DTX25",-1.84212567603414,0.00321158940889393,"down"
"AT5G57760","AT5G57760",-2.17577300703174,0.00376191927835024,"down"
"AT5G18670","BMY3",-1.08445523539268,0.00498784452582021,"down"
"AT4G13660","PRR2",-1.27882096048818,0.00741271950371799,"down"
"AT5G66170","STR18",-1.19864571451092,0.00807685502024287,"down"
"AT3G21510","AHP1",-1.7928694527444,0.00848868379439675,"down"
"AT4G12470","AZI1",-1.95900146268504,0.01088497538775,"down"
"AT1G09530","PAP3",-1.05029043596255,0.0138472470760759,"down"
"AT3G23150","ETR2",-1.29793648911748,0.0141223096272779,"down"
"AT3G50330","HEC2",-1.54390470433715,0.0163852517354282,"down"
"AT1G49660","CXE5",-1.14821099184381,0.0175609702995204,"down"
"AT3G61440","CYSC1",-1.0526421929771,0.0175609702995204,"down"
"AT5G14780","FDH",-1.56118292275854,0.0175609702995204,"down"
"AT3G11690","AT3G11690",-1.10416736058322,0.0203576641693265,"down"
"AT4G28040","UMAMIT33",-1.11188249990621,0.0209669076647304,"down"
"AT1G05010","EFE",-1.32722750582957,0.021801669497574,"down"
"AT1G04220","KCS2",-1.51086329201448,0.0232685418617376,"down"
"AT4G16442","CASPL2B1",-1.44371149105789,0.0244776116571208,"down"
"AT1G18100","E12A11",-1.97267644685653,0.0282368924076334,"down"
"AT5G01210","HXXXD1",-2.88519308848522,0.0317544857674573,"down"
"AT4G23510","TIR-NBS-LRR",-1.18400439221369,0.0335060894495416,"down"
"AT2G36890","RAX2",-1.63020814868275,0.0343566920323694,"down"
"AT5G18470","CURP",-1.50740819740975,0.0399505093892108,"down"
"AT2G15960","AT2G15960",1.24708370650664,0.0452323181921982,"up"
